column,role,reason,dict_type,chart_abstracted,n_unique_train,missing_rate_train,description
to_patient_id,ADMIN,患者 ID（管理列）,string,False,1021,0.0,TCIA patient identifier
covid19_statuses,ADMIN,Training set で positive のみの定数列（情報量ゼロ）,string,False,1,0.0,COVID-19 status as determined through either positive PCR test or outside documentation reviewed by clinician
last.status,EXCLUDE_post_T0,アウトカムそのもの（院内死亡）,string,False,2,0.0,For the selected visit the status of the patient
age.splits,CANDIDATE,"年齢は COVID-19 院内死亡の最も強い予後因子で、ほぼすべての既存スコアに含まれる（根拠: 4C Mortality Score, CURB-65, COVID-GRAM, OpenSAFELY）",string,False,3,0.0,Age intervals (in years) at time of admission; truncated for patients over 90 years of age
gender_concept_name,CANDIDATE,"男性で死亡リスクが高いことが一貫して報告されている（根拠: 4C Mortality Score, OpenSAFELY）",string,False,2,0.0186,Documented gender in the EHR (Electronic Health Record); gender is dropped in select cases for de-identification purposes
visit_start_datetime,ADMIN,T0 の定義そのもの。予測変数ではない,string,False,26,0.0,Date shifted start of selected visit
visit_concept_name,ADMIN,受診形態（ER / 入院）。T0 で既知だが triage 判断を含み、欠測構造の主因でもあるため予測変数には用いず、欠測の記述にのみ使う（Q-B4）,string,False,2,0.0,For the selected visit the type of the visit; note patients can be admitted for observation (multiple days) in emergency department
is_icu,EXCLUDE_post_T0,入院後の ICU 入室。T0 では未確定で、重症度の結果指標,string,False,2,0.0,Patient admitted to the ICU based on documented room charges
was_ventilated,EXCLUDE_post_T0,入院後の侵襲的人工呼吸の実施。T0 では未確定,string,False,2,0.0,The patient had invasive ventilation
invasive_vent_days,EXCLUDE_post_T0,人工呼吸日数。入院経過の結果,numeric,False,37,0.8462,Number of documented days of invasive ventilation support
length_of_stay,EXCLUDE_post_T0,在院日数。エピソード終了後にしか確定せず、死亡と強く交絡,int64,False,58,0.0,Number of calendar days in the facility
Acute.Hepatic.Injury..during.hospitalization.,EXCLUDE_post_T0,定義に during hospitalization と明記＝T0 以降の合併症,string,False,2,0.1734,ALT or AST was at least 15 times above the test's upper limit
Acute.Kidney.Injury..during.hospitalization.,EXCLUDE_post_T0,定義に during hospitalization と明記＝T0 以降の合併症,string,False,2,0.0,Had an increase in serum creatinine of 0.3 mg/dL within 48 hours
Urine.protein,NOT_SELECTED,候補領域が他変数で代表されているか、Train 欠測が高い（considered_not_selected 参照）,string,False,2,0.6004,Protein in urine
kidney_replacement_therapy,EXCLUDE_post_T0,腎代替療法。入院後の治療介入である可能性が高い（実施時期の記載なし）,string,False,1,0.9579,Did the patient have documented renal replacement therapy
kidney_transplant,EXCLUDE_constant,Training set で値が 1 種類以下（情報量なし）,string,False,1,0.9853,Did the patient have a kidney transplant
htn_v,CANDIDATE_member,併存症カウント（comorbidity）の構成要素として使用,string,True,2,0.1783,"Documented ICD-10 code for HTN (Hypertension), taking anti-hypertensive medications and/or documented SBP>140/90"
dm_v,CANDIDATE_member,併存症カウント（comorbidity）の構成要素として使用,string,True,2,0.1763,"Documented ICD-10 code for diabetes type 1 or 2, taking insulin or other oral medications for diabetes"
cad_v,CANDIDATE_member,併存症カウント（comorbidity）の構成要素として使用,string,True,2,0.1773,"Documented ICD-10 code for CAD (Coronary Artery Disease), history of stent placement, existing cath report documenting disease"
hf_ef_v,CANDIDATE_member,併存症カウント（comorbidity）の構成要素として使用,string,True,3,0.1851,"For HFrEF, documented ICD-10 code for HFrEF or echocardiogram documenting reduced ejection fraction (reduced EF is <40%, 40% or higher is preserved EF). For HFpEF, documented ICD-10 code for HFpEF or echocardiogram documenting diastolic dysfunction."
ckd_v,CANDIDATE_member,併存症カウント（comorbidity）の構成要素として使用,string,True,2,0.1773,"Documented ICD-10 code for CKD (Chronic Kidney Disease), reduced GFR on lab work."
malignancies_v,CANDIDATE_member,併存症カウント（comorbidity）の構成要素として使用,string,True,2,0.1841,"Documented ICD-10 code for malignancies, receiving treatment for active malignancy"
copd_v,CANDIDATE_member,併存症カウント（comorbidity）の構成要素として使用,string,True,2,0.1783,"Documented ICD-10 code for COPD (Chronic obstructive pulmonary disease), PFTs documenting obstructive defect along with positive smoking history"
other_lung_disease_v,CANDIDATE_member,併存症カウント（comorbidity）の構成要素として使用,string,True,2,0.1783,"Documented ICD-10 code for other lung diseases including asthma, ILD, pulmonary hypertension, chronic PE, lung resection"
acei_v,NOT_SELECTED,候補領域が他変数で代表されているか、Train 欠測が高い（considered_not_selected 参照）,string,True,2,0.1841,Admission medication reconciliation documenting use of ACE Inhibitor as a home medication
arb_v,NOT_SELECTED,候補領域が他変数で代表されているか、Train 欠測が高い（considered_not_selected 参照）,string,True,2,0.1841,Admission medication reconciliation documenting use of ARB (Angiotensin receptor blockers) as a home medication
antibiotics_use_v,NOT_SELECTED,候補領域が他変数で代表されているか、Train 欠測が高い（considered_not_selected 参照）,string,True,2,0.2047,Patient on an antibiotic prior to presentation
nsaid_use_v,NOT_SELECTED,候補領域が他変数で代表されているか、Train 欠測が高い（considered_not_selected 参照）,string,True,2,0.2233,Admission medication reconciliation documenting use of NSAID (Non-steroidal anti-inflammatory drug) as a home medication
days_prior_sx,CONSIDERED_not_selected,発症からの日数は予後と関連しうるが、自己申告で Train 欠測 24%。既存スコアに含まれない,numeric,True,24,0.239,The number of days prior to presentation that symptoms began
smoking_status_v,CONSIDERED_not_selected,COVID-19 死亡との関連は文献間で一貫しない。Train 欠測 22%,string,True,3,0.2174,"Marks patient's smoking status as either current, former, never smoker, or unknown. This refers only to cigarettes and cigars. E-cigarettes and marijuana do not count."
cough_v,NOT_SELECTED,自覚症状。主観的で Train 欠測 21-25%、既存スコアでは客観指標に置換されている,string,True,2,0.2243,Reported cough
dyspnea_admission_v,NOT_SELECTED,自覚症状。主観的で Train 欠測 21-25%、既存スコアでは客観指標に置換されている,string,True,2,0.2135,Shortness of breath on admission
nausea_v,NOT_SELECTED,自覚症状。主観的で Train 欠測 21-25%、既存スコアでは客観指標に置換されている,string,True,2,0.2468,Reported nausea
vomiting_v,NOT_SELECTED,自覚症状。主観的で Train 欠測 21-25%、既存スコアでは客観指標に置換されている,string,True,2,0.2409,Reported vomiting
diarrhea_v,NOT_SELECTED,自覚症状。主観的で Train 欠測 21-25%、既存スコアでは客観指標に置換されている,string,True,2,0.2341,Reported diarrhea
abdominal_pain_v,NOT_SELECTED,自覚症状。主観的で Train 欠測 21-25%、既存スコアでは客観指標に置換されている,string,True,2,0.2449,Abdominal pain symptom
fever_v,NOT_SELECTED,自覚症状。主観的で Train 欠測 21-25%、既存スコアでは客観指標に置換されている,string,True,2,0.2125,Yes or no. Only refers to subjective or objective fever at home. Fever in ED does not count.
BMI.over30,EXCLUDE_derived_duplicate,連続変数 `39156-5_Body mass index (BMI) [Ratio]` から完全に再現可能な区分ダミー。Training set で一致率 1.000、欠測パターンも一致し追加情報がない,boolean,False,2,0.3203,Body mass index over 30
BMI.over35,EXCLUDE_derived_duplicate,連続変数 `39156-5_Body mass index (BMI) [Ratio]` から完全に再現可能な区分ダミー。Training set で一致率 1.000、欠測パターンも一致し追加情報がない,boolean,False,2,0.3203,Body mass index over 35
temperature.over38,EXCLUDE_derived_duplicate,連続変数 `8331-1_Oral temperature` から完全に再現可能な区分ダミー。Training set で一致率 1.000、欠測パターンも一致し追加情報がない,boolean,False,2,0.0284,Temperature at time of admission over 38 degrees centigrade
pulseOx.under90,EXCLUDE_derived_duplicate,連続変数 `59408-5_Oxygen saturation in Arterial blood ` から完全に再現可能な区分ダミー。Training set で一致率 1.000、欠測パターンも一致し追加情報がない,boolean,False,2,0.0029,Measured blood oxygen level below 90% using a pulse oximeter
