variable,raw_column,domain,kind,estimated_parameters,missing_rate_train,n_unique_train,levels_or_example,rationale,evidence,evidence_source,caveat,dataset_used_for_decision,status
age,age.splits,人口統計,categorical,2,0.0,3,"(59,74]; (74,90]; [18,59]",年齢は COVID-19 院内死亡の最も強い予後因子で、ほぼすべての既存スコアに含まれる,"4C Mortality Score, CURB-65, COVID-GRAM, OpenSAFELY",established risk score,3 階級のみで 90 歳超は最上位階級に統合。既存スコアの年齢区分を再現できない（L-4）,Training（欠測率のみ）／根拠は臨床知識・文献,provisional（Test 使用前は変更可）
sex,gender_concept_name,人口統計,binary,1,0.0186,2,FEMALE; MALE,男性で死亡リスクが高いことが一貫して報告されている,"4C Mortality Score, OpenSAFELY",established risk score,匿名化のため一部で欠測（Train 1.9%）,Training（欠測率のみ）／根拠は臨床知識・文献,provisional（Test 使用前は変更可）
spo2,59408-5_Oxygen saturation in Arterial blood by Pulse oximetry,呼吸,continuous,1,0.0029,34,100; 61; 64; 67; 68; 71,低酸素血症は COVID-19 重症度の中心的指標で、呼吸不全の直接の所見,"4C Mortality Score, NEWS2",established risk score,酸素投与の有無が記録されておらず、同じ値でも臨床的意味が異なりうる（Q-B7）,Training（欠測率のみ）／根拠は臨床知識・文献,provisional（Test 使用前は変更可）
rr,9279-1_Respiratory rate,呼吸,continuous,1,0.002,41,11; 14; 15; 16; 17; 18,呼吸数は呼吸仕事量を反映し、酸素化とは別の側面を表す,"4C Mortality Score, CURB-65, qSOFA, NEWS2",established risk score,,Training（欠測率のみ）／根拠は臨床知識・文献,provisional（Test 使用前は変更可）
sbp,8480-6_Systolic blood pressure,循環,continuous,1,0.002,123,100; 101; 102; 103; 104; 105,低血圧は循環不全・臓器灌流低下の指標。循環動態を代表する,"CURB-65, qSOFA, NEWS2",established risk score,,Training（欠測率のみ）／根拠は臨床知識・文献,provisional（Test 使用前は変更可）
bun,3094-0_Urea nitrogen [Mass/volume] in Serum or Plasma,腎（急性）,continuous,1,0.144,84,10; 100; 103; 104; 106; 109,尿素窒素の上昇は腎機能低下と脱水・異化亢進を反映し、4C の構成要素,"4C Mortality Score, CURB-65",established risk score,eGFR・クレアチニンと相関（共線性）,Training（欠測率のみ）／根拠は臨床知識・文献,provisional（Test 使用前は変更可）
crp,1988-5_C reactive protein [Mass/volume] in Serum or Plasma,炎症,continuous,1,0.2233,270,0.1; 0.2; 0.3; 0.4; 0.5; 0.6,全身性炎症反応の代表指標で 4C の構成要素,"4C Mortality Score, Wynants 系統的レビュー",established risk score,単位が data dictionary に明記されていない（Q-B12）。ER で 73% 欠測,Training（欠測率のみ）／根拠は臨床知識・文献,provisional（Test 使用前は変更可）
lymph,731-0_Lymphocytes [#/volume] in Blood by Automated count,血液,continuous,1,0.2831,212,0.05; 0.07; 0.09; 0.11; 0.15; 0.17,リンパ球減少は COVID-19 の重症化・死亡と繰り返し関連が報告されている,"COVID-GRAM（NLR）, Zhou et al. Lancet 2020",prior literature,好中球数・白血球数と相関,Training（欠測率のみ）／根拠は臨床知識・文献,provisional（Test 使用前は変更可）
ddimer,48058-2_Fibrin D-dimer DDU [Mass/volume] in Platelet poor plasma by Immunoassay,凝固,continuous,1,0.3036,459,1014; 1025; 1036; 1043; 1046; 1055,凝固活性化・血栓症を反映し、多変量解析で独立した死亡予測因子として報告されている,"Zhou et al. Lancet 2020, Wynants 系統的レビュー",prior literature,ER で 78% 欠測（オーダー依存）。検出限界 150 に 9% が集中,Training（欠測率のみ）／根拠は臨床知識・文献,provisional（Test 使用前は変更可）
lactate,2524-7_Lactate [Moles/volume] in Serum or Plasma,組織灌流,continuous,1,0.2429,60,0.5; 0.6; 0.7; 0.8; 0.9; 1,乳酸上昇は組織低灌流・嫌気性代謝を示し、敗血症性ショックの診断基準に含まれる,"Sepsis-3, Zhou et al. Lancet 2020",clinical knowledge,ER での測定が多く、入院例では欠測しやすい,Training（欠測率のみ）／根拠は臨床知識・文献,provisional（Test 使用前は変更可）
egfr,"62238-1_Glomerular filtration rate/1.73 sq M.predicted [Volume Rate/Area] in Serum, Plasma or Blood by Creatinine-based formula (CKD-EPI)",腎（慢性）,continuous,1,0.1587,116,10; 100; 101; 102; 103; 104,推算 GFR は慢性腎機能を表し、BUN（急性の変動）とは異なる情報を持つ,"OpenSAFELY（CKD）, 4C（併存症）",prior literature,BUN・クレアチニンと強く相関。120 で上限打ち切り（Train の 12%）,Training（欠測率のみ）／根拠は臨床知識・文献,provisional（Test 使用前は変更可）
troponin,6598-7_Troponin T.cardiac [Mass/volume] in Serum or Plasma,心筋,binary_threshold,1,0.2889,31,0.01; 0.02; 0.03; 0.04; 0.05; 0.06,心筋傷害は COVID-19 死亡と強く関連することが報告されている,"Zhou et al. Lancet 2020, Shi et al. JAMA Cardiol 2020",prior literature,Training の 78.2%（568/726）が検出限界 0.01 に集中しており、連続値として扱うと測定系が持たない精度を仮定することになる。そのため『検出可能（>0.01）』の二値として扱う（Q-B5 の決定）,Training（欠測率のみ）／根拠は臨床知識・文献,provisional（Test 使用前は変更可）
comorbidity,__derived__,併存症,derived,2,0.0,4,0; 1; 2+; NotAbstracted,併存症の数は 4C の構成要素で、個々の疾患を別々に入れるよりパラメータ効率が高い,"4C Mortality Score（number of comorbidities）, OpenSAFELY",established risk score,"カルテ抽出列。Training 1,021 例中 178 例で 21 列すべてが欠測し、その群の死亡率は 9.6%（抽出あり 14.0%）。欠測を平均・最頻値で埋めず Missing カテゴリとして保持する",Training（欠測率のみ）／根拠は臨床知識・文献,provisional（Test 使用前は変更可）
