category,item,human_guided,ai_agent,key_difference,possible_methodological_implication,source_human,source_ai_agent
cohort,patients,"1,277 (fixed)","1,277 (fixed)",none,the two pipelines are directly comparable on the same patients,Human-guided final result artifact,AI-Agent frozen Task C result
cohort,split,"Train 1,021 / Val 128 / Test 128",identical,none,Validation and Test estimates refer to the same patients,Human-guided final result artifact,AI-Agent frozen Task C result
cohort,deaths,135 / 17 / 17,identical,none,identical event counts,Human-guided final result artifact,AI-Agent frozen Task C result
cohort,prediction time point,T0 = visit_start_datetime,identical,none,both predict from information available at admission,Human-guided final result artifact,AI-Agent frozen Task C result
CXR component,model,ResNet18 (human-guided Task A),"ResNet18, condition lr3e-4_aug_b, seed 42, best epoch 9",different training configuration and checkpoint,"the two CXR models are not the same model; their performance differs substantially, which propagates into every fusion comparison",Human-guided final result artifact,AI-Agent frozen Task C result
CXR component,Validation ROC-AUC,0.848967,0.871754,the AI-agent CXR model scored higher on Validation,Validation and Test order differently for these two CXR models,Human-guided final result artifact,AI-Agent frozen Task C result
CXR component,Test ROC-AUC,0.907260,0.834658,the human-guided CXR model scored markedly higher on Test (+0.0726),"this single difference drives most of the divergence in the Late Fusion vs CXR comparison; it is a property of the Task A models, not of the fusion step",Human-guided final result artifact,AI-Agent frozen Task C result
CXR component,retrained for Task C,no,no,none,both reuse a frozen image model,Human-guided final result artifact,AI-Agent frozen Task C result
clinical component,model,Clinical Logistic Regression,Clinical Logistic Regression,**none -- both converged on LR**,the two pipelines chose the same model family independently,Human-guided final result artifact,AI-Agent frozen Task C result
clinical component,selection basis,Validation ROC-AUC among 8 LR conditions,"best Training cross-validated ROC-AUC among LR / XGBoost / MLP, fixed before fusion",the agent chose the component on 135 CV events rather than 17 Validation events,selecting on 17 events is noisier; the agent's rule also avoids spending Validation twice,Human-guided final result artifact,AI-Agent frozen Task C result
clinical component,LR settings,"L2, C=1.0, class_weight=None, solver=liblinear","L2, C=1.0, class_weight=balanced, solver=lbfgs",class weighting: none vs balanced,"class weighting inflates predicted probabilities, which changes calibration and the operating threshold without necessarily changing the ranking",Human-guided final result artifact,AI-Agent frozen Task C result
clinical component,final variables,"9 raw variables / 12 features: age, sex, heart failure, SpO2, lymphocyte, eGFR, CRP, D-dimer, lactate","10 raw variables / 12 features: age, sex, SpO2, SBP, CRP, lymphocyte, D-dimer, lactate, eGFR, troponin detectable (+ lymph_missing)","human-guided only: heart failure. AI-agent only: SBP, troponin detectable, lymph_missing",different clinical domains are represented; 8 variables are shared,Human-guided final result artifact,AI-Agent frozen Task C result
clinical component,Validation ROC-AUC,0.896131,0.895072,essentially the same,the two LR models discriminate almost identically on Validation despite different inputs,Human-guided final result artifact,AI-Agent frozen Task C result
clinical component,Test ROC-AUC,0.941176,0.946476,the AI-agent LR point estimate is marginally higher (+0.0053),no statistical test was run on this difference,Human-guided final result artifact,AI-Agent frozen Task C result
fusion,level,decision-level Late Fusion,decision-level Late Fusion,**none**,both rejected early fusion in favour of combining probabilities,Human-guided final result artifact,AI-Agent frozen Task C result
fusion,equation,p = w x p_clinical + (1 - w) x p_cxr,identical,**none -- both used probability-space weighted averaging**,the same functional form was reached independently,Human-guided final result artifact,AI-Agent frozen Task C result
fusion,clinical weight,0.72,0.75,"0.72 vs 0.75, a difference of 0.03","both weight clinical information above CXR, in a similar proportion",Human-guided final result artifact,AI-Agent frozen Task C result
fusion,CXR weight,0.28,0.25,0.28 vs 0.25,see above,Human-guided final result artifact,AI-Agent frozen Task C result
fusion,weight search space,"w in [0,1], step 0.01 (101 points)","w in [0,1], step 0.05 (21 points)",the human-guided grid is five times finer,with 17 Validation events a finer grid does not add resolution; the agent recorded that 6 of its 21 weights sit within 0.005 AUROC of the best,Human-guided final result artifact,AI-Agent frozen Task C result
