variable,domain,missing_rate_train,n_missing_train,deaths_if_missing,n_missing,death_rate_if_missing,deaths_if_observed,n_observed,death_rate_if_observed,OR_all,p_all,C1_coverage>=5%,inpatient_n_missing,inpatient_death_rate_missing,inpatient_death_rate_observed,inpatient_OR,inpatient_p,C2_persists_within_inpatient,full_panel_n,full_panel_n_missing,full_panel_death_rate_missing,full_panel_death_rate_observed,full_panel_OR,full_panel_p,C3_survives_panel_held_bonferroni,C4_missing_means_higher_mortality,C5_mechanism,decision,criteria_failed,dataset_used_for_decision,status
age,人口統計,0.0,0,0,0,,135,1021,0.1322,,,False,0,,0.1765,,,False,457,0,,0.1597,,,False,False,,do not adopt,"C1, C2, C3, C4",Training only,fixed（Test 使用前は変更可）
sex,人口統計,0.0186,19,18,19,0.9474,117,1002,0.1168,136.154,9.161e-16,False,19,0.9474,0.1568,96.828,1.667e-13,True,457,10,1.0,0.1409,inf,0.0000,True,True,data dictionary に de-identification の過程で一部削除されると記載がある。患者の臨床状態ではなく、データ加工に由来する可能性が高い → 指示変数を作らない,do not adopt,C1,Training only,fixed（Test 使用前は変更可）
spo2,呼吸,0.0029,3,0,3,0.0,135,1018,0.1326,0.0,1.000e+00,False,2,0.0,0.177,0.0,1.000e+00,False,457,0,,0.1597,,,False,False,バイタルサインでほぼ全例に測定される（欠測 0.3%）,do not adopt,"C1, C2, C3, C4",Training only,fixed（Test 使用前は変更可）
rr,呼吸,0.002,2,0,2,0.0,135,1019,0.1325,0.0,1.000e+00,False,0,,0.1765,,,False,457,0,,0.1597,,,False,False,バイタルサインでほぼ全例に測定される（欠測 0.5%）,do not adopt,"C1, C2, C3, C4",Training only,fixed（Test 使用前は変更可）
sbp,循環,0.002,2,0,2,0.0,135,1019,0.1325,0.0,1.000e+00,False,1,0.0,0.1768,0.0,1.000e+00,False,457,0,,0.1597,,,False,False,バイタルサインでほぼ全例に測定される（欠測 0.2%）,do not adopt,"C1, C2, C3, C4",Training only,fixed（Test 使用前は変更可）
bun,腎（急性）,0.144,147,1,147,0.0068,134,874,0.1533,0.038,8.337e-09,True,3,0.3333,0.1759,2.342,4.421e-01,False,457,0,,0.1597,,,False,True,基礎代謝パネルの一部。単独で省略されることはほとんどなく、欠測はパネル自体が出ていないことを意味する → 患者状態を反映しない,do not adopt,"C2, C3",Training only,fixed（Test 使用前は変更可）
crp,炎症,0.2233,228,8,228,0.0351,127,793,0.1602,0.191,6.034e-08,True,37,0.2162,0.1745,1.305,5.085e-01,False,459,2,0.0,0.1597,0.0,1.0000,False,True,炎症マーカーとして追加オーダーされる。COVID-19 入院例ではほぼ定型的に測定され、欠測はパネル未オーダーとほぼ同義 → 患者状態を反映しない,do not adopt,"C2, C3",Training only,fixed（Test 使用前は変更可）
lymph,血液,0.2831,289,38,289,0.1315,97,732,0.1325,0.991,1.000e+00,True,126,0.2937,0.1532,2.297,3.175e-04,True,547,90,0.3,0.1597,2.254,0.0027,True,True,リンパ球数は**白血球分画**を要し、分画は全血球計算とは別に実施・報告される。基礎パネルが出ていても分画が欠けることがあり、その欠如が患者状態を反映しうる（下記 C3 で検証）,adopt missing indicator,none,Training only,fixed（Test 使用前は変更可）
ddimer,凝固,0.3036,310,23,310,0.0742,112,711,0.1575,0.429,1.918e-04,True,105,0.2095,0.1713,1.283,3.363e-01,False,486,29,0.2414,0.1597,1.674,0.2975,False,True,血栓症を疑ったときに追加される。lactate と同様に、欠測は「疑われなかった」ことを意味しうる → 逆向き,do not adopt,"C2, C3",Training only,fixed（Test 使用前は変更可）
lactate,組織灌流,0.2429,248,7,248,0.0282,128,773,0.1656,0.146,6.048e-10,True,61,0.1148,0.1819,0.583,2.222e-01,False,479,22,0.0455,0.1597,0.25,0.2258,False,False,敗血症・低灌流を疑ったときに追加される。重症を疑わなければ出されない＝欠測は「疑われなかった」ことを意味し、向きとしては軽症に対応する → 患者状態の代理としては逆向き,do not adopt,"C2, C3, C4",Training only,fixed（Test 使用前は変更可）
egfr,腎（慢性）,0.1587,162,5,162,0.0309,130,859,0.1513,0.179,3.726e-06,True,18,0.2778,0.1741,1.825,3.418e-01,False,467,10,0.2,0.1597,1.315,0.6662,False,True,クレアチニンからの計算値で、基礎代謝パネルに連動する。単独欠測は起こりにくい → 患者状態を反映しない,do not adopt,"C2, C3",Training only,fixed（Test 使用前は変更可）
troponin,心筋,0.2889,295,14,295,0.0475,121,726,0.1667,0.249,6.833e-08,True,111,0.1261,0.1852,0.635,1.404e-01,False,508,51,0.098,0.1597,0.572,0.3086,False,False,心筋傷害を疑ったときに追加される。同上 → 逆向き,do not adopt,"C2, C3, C4",Training only,fixed（Test 使用前は変更可）
comorbidity,併存症,0.0,0,0,0,,135,1021,0.1322,,,False,0,,0.1765,,,False,457,0,,0.1597,,,False,False,カルテ抽出ブロックの有無。欠測は NotAbstracted 水準としてカテゴリ内で明示的に扱うため、別個の指示変数は作らない,do not adopt,"C1, C2, C3, C4",Training only,fixed（Test 使用前は変更可）
