category,item,human_guided,ai_agent,key_difference,possible_methodological_implication,source_human,source_ai_agent
cohort,patients,"1,277 (fixed)","1,277 (fixed)",none,the two pipelines are directly comparable on the same patients,Human-guided final result artifact,AI-Agent frozen Task B result
cohort,split,"Train 1,021 / Val 128 / Test 128","Train 1,021 / Val 128 / Test 128",none,"same split, so Validation and Test estimates refer to the same patients",Human-guided final result artifact,AI-Agent frozen Task B result
cohort,deaths,135 / 17 / 17,135 / 17 / 17,none,identical event counts,Human-guided final result artifact,AI-Agent frozen Task B result
variables,columns audited,131,131,none,both started from the whole clinical table,Human-guided final result artifact,AI-Agent frozen Task B result
variables,candidate raw variables,14,13,one fewer candidate in the agent set,"a smaller candidate set means fewer chances for selection to overfit, but also fewer clinical domains offered to the model",Human-guided final result artifact,AI-Agent frozen Task B result
variables,final raw variables,9,10,+1,both end near the events-per-parameter budget,Human-guided final result artifact,AI-Agent frozen Task B result
variables,final input features,12,12 (including lymph_missing),"same count, different content",the coefficient budget is the same; what occupies it differs,Human-guided final result artifact,AI-Agent frozen Task B result
variables,final variable list,age; sex; heart failure; SpO2; lymphocyte; eGFR; CRP; D-dimer; lactate,age; sex; SpO2; SBP; CRP; lymphocyte; D-dimer; lactate; eGFR; troponin detectable (+ lymph_missing),"human-guided only: heart failure. AI-agent only: SBP, troponin detectable, lymph_missing","the two pipelines cover different clinical domains: the human-guided set carries a chronic cardiac comorbidity, the agent set carries haemodynamics, myocardial injury and a missingness marker",Human-guided final result artifact,AI-Agent frozen Task B result
variables,selection method,backward elimination by AIC (Train only),"backward elimination by AIC (Train only), then a parameter-budget constraint",the agent adds an explicit coefficient budget on top of AIC,AIC alone can exceed an events-per-parameter target; the budget makes that limit binding,Human-guided final result artifact,AI-Agent frozen Task B result
variables,selection stability,not assessed,500 bootstrap resamples of Training; retention rate reported per variable,stability quantified only in the agent pipeline,"reported, not used to select; it shows how reproducible the chosen set is",Human-guided final result artifact,AI-Agent frozen Task B result
variables,selection unit,original clinical variable (dummies as a group),original clinical variable (dummies as a group),none,both answer 'do we use age?' rather than 'do we use one age dummy?',Human-guided final result artifact,AI-Agent frozen Task B result
