id,発見日,問題,原因,影響するTask・ファイル,修正方法,再実行の要否,確認結果
CL-011,2026-09-23,Task B の Test 指標表 test_metrics_table.csv で、threshold 列が 4 桁に丸められて保存されていた。post-Test QC の「閾値が Validation 由来の凍結値と一致する」検査が、この丸めのために FAIL した。また、指標表を再生成する際に患者別予測ファイルが再シリアライズされ、値は同一のままバイトハッシュが変化した。Test access log にも 2 件目の entry が event='test evaluation' として記録された,scripts/30_taskB_test_evaluation.py の行構築で、binary_rates() が返す辞書を後から展開していたため、先に置いた全精度の threshold が丸め値で上書きされていた。--recompute-metrics モードが予測ファイルとアクセスログまで書き戻す実装になっていた,results/taskB/evaluation/test_metrics_table.csv、test_predictions_taskB.csv（値は不変、シリアライズのみ変化）、results/taskB/qc/test_access_log.jsonl,threshold を辞書展開の後に書くよう修正し、全精度で保存されるようにした。--recompute-metrics モードでは予測ファイルとアクセスログを書き換えないよう変更。アクセスログの 2 件目に event='metrics recompute' のラベルと説明を付し、3 件目に訂正記録を追記した（元の行は編集していない）。post-Test QC に「保存済み Test 予測が凍結モデルから再現できること」の検査を追加,不要（モデルの再学習・再予測は行っておらず、予測値・性能値は一切変わっていない）,修正後、凍結モデルから Test 予測を再計算し、保存済みファイルと最大差 1e-6 未満で一致することを確認。閾値は 4 モデルとも凍結値と完全一致。Test evaluation の entry は 1 件のみ
CL-010,2026-09-22,"Task B の進捗報告で「Test 未読込」「Test を一切使用していない」と記載したが、事実と異なっていた。共有ローダ load_cohort() が固定 split 全 1,277 行を読み込むため Test 行がメモリ上に展開され、Test の人数・死亡数・受診形態構成・在院日数が集計され成果物に記録されていた。さらに旧 scripts/28_taskB_qc.py は Training で fit した preprocessor を Test に transform し、Test の設計行列の NaN/Inf と列順を検査していた",ローダに split の選択機構がなく、Task A の運用（Test を最終評価直前まで触れない）をコードで担保していなかった。QC スクリプトも pre-Test と post-Test を分離していなかった,Task B の scripts/21〜27 と旧 scripts/28。results/taskB/preprocessing/audit_summary.json、visit_type_composition.csv、inpatient_sensitivity_flow.csv に Test のメタデータが含まれる,load_cohort(splits=...) と load_development() を追加し、Test 承認前の全スクリプトを Training + Validation のみに変更。QC を scripts/28_taskB_pre_test_qc.py（Test 行・ラベル・transform・件数を読まない。Test 側は split manifest の ID と split 列のみで検証）と post-Test QC に分離し、Test を要する 5 項目を deferred として明示。コホート全体の受診形態集計は --cohort-flow フラグ（既定オフ）に隔離。報告文言を「Test predictions have not been generated」に統一（D-075）,不要（モデル学習・変数選択・前処理パラメータのいずれにも Test の特徴量は使われておらず、Test 予測も Test 性能指標も生成していないため、結果の再実行は不要）,修正後、scripts/21〜24 を再実行して Test 行を読まずに同一の Training 側結果が得られることを確認。pre-Test QC は split manifest の ID と split 列のみで Test 側を検証する
CL-009,2026-09-22,Task B の連続変数の変換ルールが、左に歪んだ変数にも log1p を適用していた。SpO2（歪度 −2.10）に log1p が選ばれ、変換後の歪度は −2.46 と悪化していた。eGFR（−0.56）も同様に誤適用の可能性があった,変換の判定を |歪度| >= 1.0 という絶対値で書いていたため、右裾と左裾を区別していなかった。log 変換は右裾を圧縮する操作で、左裾には効果がないどころか悪化させる,scripts/22_taskB_preprocess_spec.py の decide()。モデルは未学習のため成果物への影響なし,判定を『歪度 >= +1.0 のときのみ log1p』に修正し、左裾の変数は変換しない扱いに変更した。左裾を補正する反転変換を採らない理由（係数の符号が反転し臨床的解釈を失う）も docstring と decision_log D-073 に明記した,不要（モデル学習前に検出。Test も未使用）,修正後は SpO2・eGFR とも transform=none となり、log1p は右裾 6 変数（rr・bun・crp・lymph・ddimer・lactate）のみに適用されることを確認。変換後の歪度は bun 3.56→0.68、crp 1.22→−0.43、lymph 1.86→0.63、ddimer 8.31→1.82 と改善
CL-008,2026-09-22,GitHub 提出用 repo の .gitignore が **`src/covid_mortality/data/taskA_dataset.py` を除外してしまう**状態だった。この 1 ファイルは Dataset / DataLoader の実装本体で、欠けると学習も評価も再現できない。初回 commit 前に「何が追跡対象になるか」を .gitignore 規則で実際に展開して確認した際に検出した（commit 前のため実害は発生していない）,`data/` を先頭スラッシュなしで書いていたため。gitignore のディレクトリ規則はスラッシュで始めない限り**あらゆる階層の同名ディレクトリに一致**するので、リポジトリ直下の data/ だけでなく src/covid_mortality/data/ にも一致していた。同じ理由で outputs/ も過剰一致の可能性があった,GitHub 提出用 repo の .gitignore（scripts/20_prepare_github_repo.py の GITIGNORE テンプレート）,`data/` → `/data/`、`outputs/` → `/outputs/` とルート直下に限定し、意図をコメントで明記。あわせて、.gitignore を実際に適用して追跡対象を列挙する確認手順を初回 commit 前のチェックに組み込んだ（DICOM・PNG 全件・checkpoint・cache・ZIP・secrets・5 MB 超の混入有無も同時に判定する）,不要（commit 前に検出。研究結果・数値・モデル・閾値には影響しない）,修正後、追跡対象 96 ファイル（1.96 MB）、除外 0 ファイル。src/covid_mortality/ が 13 ファイルすべて追跡対象に戻ったことを確認。禁止対象（DICOM 0・Grad-CAM パネル以外の PNG 0・checkpoint 0・cache 0・ZIP 0・secrets 0・5 MB 超 0）も同時に確認した
CL-007,2026-09-22,"GitHub 提出用 repo に複写した docs が末尾まで複写されず、**内容が途中で切り落とされていた**。docs/decision_log.md は 44,382 bytes → 17,039 bytes（約 62% 欠落、D-044 以降が消失）、docs/open_questions.md は 17,561 bytes → 4,937 bytes（約 72% 欠落、Q-E1〜Q-E5 が消失）。初回組み立て時から混入しており、初回 commit 直前の整合性確認で検出した","scripts/20_prepare_github_repo.py の絶対パス伏字化の正規表現が貪欲だったため。`[A-Za-z]:\\Users\\[^""'\\]+\\[^""']*` の末尾 `[^""']*` は**改行にもマッチする**ので、文書中に絶対パスが 1 箇所あると、そこから次の引用符までの全文（実質ファイル末尾まで）がプレースホルダ 1 個に置換されていた。監査は「絶対パスが残っていないか」しか見ておらず、削られたことは検出できなかった",GitHub 提出用 repo の docs/decision_log.md、docs/open_questions.md。scripts/20_prepare_github_repo.py（研究の解析コード・結果・数値には影響しない）,"正規表現の末尾を `[^\s""'、。，`)\]}<>|]*` に変更し、**改行・空白・引用符・句読点で停止**するよう限定した（対象も Users / manifest- 配下に限定）。あわせて redact() に 2 つのガードを追加：(1) 削除文字数がマッチ数 × 260 を超えたら停止、(2) 行数が変化したら停止。検証スクリプトにも「複写した docs の行数が原本と一致すること」のチェックを追加した",不要（研究結果・数値・モデル・閾値には影響しない。repo を再生成して復元）,再生成後、decision_log.md と open_questions.md の行数が原本と完全一致することを確認（D-001〜D-068、Q-A1〜Q-E6 がすべて存在）。伏字化は decision_log 2 箇所・open_questions 1 箇所で正しく機能し、公開版に残る絶対パスは scripts/09 の docstring 内 Colab 例のみ（意図的）
CL-006,2026-09-22,Grad-CAM の正本 gradcam_notes.md の「総括（定量）」が、実際の症例数 15 ではなく 16 を分母として記載している（「16 例平均」「ゼロ埋め領域への注目が 5% を超えた症例：8 / 16」「外周帯…0 / 16」）。あわせて、予測確率が数値的に 0 に飽和した症例（TN 4 例・FN 1 例）で CAM が全面ゼロとなり、領域指標・重心・ピークが nan になっている。症例別の記載では T0 との差も None,"scripts/18 の集計部が、D-061 で FN を min(4, available) に変更した後も分母を固定値 16 のまま参照していたと考えられる。nan は勾配がほぼ 0 の症例で CAM を最大値正規化した結果。delta_days は Test 予測 CSV から選択表へ引き継がれていない",Task A Grad-CAM。01_TaskA_CXR/06_GradCAM/AIagent_taskA_primary_test/gradcam_notes.md、gradcam_selection.csv、scripts/18_taskA_gradcam_primary_test.py,**修正済み（documentation のみ）**。gradcam_selection.csv（scripts/18 が保存済みの値）から集計を再計算し、分子が既存記載と一致することを確認したうえで、分母のみ修正した：(1)「16 例平均：padding 0.133、border 0.185、central 0.318」→「領域指標が算出できた 10 例の平均（症例 15 例のうち CAM が全面ゼロの 5 例は算出不能）」。**この 3 つの平均は元から 16 でも 15 でもなく 10 例平均だった**ため、分母を 15 に置き換えるのではなく母集団を明示する記載に改めた。(2)「8 / 16」→「8 / 15」、(3)「0 / 16」→「0 / 15」（いずれも算出不能 5 例が「超えていない」側に数えられている旨を併記）、(4) 群別 central 平均に算出できた症例数を併記（TP 4/4、FP 4/4、TN 0/4＝算出不能、FN 2/3）。**変更したのは notes の 4 行のみで、症例別所見・実行情報・読影節は削除していない**。nan は nan のまま残し、補間・0 置換は行っていない。delta_days_from_T0 が空の件は未修正（Q-E6）。モデル推論・Grad-CAM 再生成・Test 再評価は行っていない,不要（documentation のみ。モデル・閾値・Test 性能・DeLong 比較に影響しない）,症例数が 15 であることは gradcam_run_meta.json（n_cases 15、cases_used_per_group TP4/FP4/TN4/FN3）、gradcam_selection.csv（15 行）、4x4 パネル（1 セル空欄）で確認済み。群別該当数 TP14/FP34/TN77/FN3 は Test 主操作点の混同行列と一致しており、症例選択そのものは規則どおり。影響は notes の集計記述のみで、モデル・閾値・Test 性能・DeLong 比較には及ばない。【2026-09-22 修正】再集計は gradcam_selection.csv の 15 行から実施し、padding 0.133 / border 0.185 / central 0.318（算出可能 10 例）、padding>5% が 8 例、border>35% が 0 例、群別 central TP 0.420・FP 0.353・TN 算出不能・FN 0.043 が既存記載と一致することを確認。修正前 SHA256 8448d3453842040e…、分母修正後 7c8aa87ffce6a03c…、読影総括追記後 877ad9cceeea067c…。残る未解決は nan（Q-E3）と delta_days_from_T0（Q-E6）
CL-005,2026-09-21,Colab（Linux）で配布 ZIP を展開したところ、ディレクトリ構造にならず、src\covid_mortality\training\taskA_trainer.py のようにバックスラッシュを名前に含む平坦なファイルとして展開された,PowerShell の Compress-Archive が ZIP 内の entry 名を Windows 形式（バックスラッシュ区切り）で書き込んでいた。Python の zipfile は Windows 上で読むと os.sep を / に置き換えて表示するため、ローカル検証では検出できなかった（旧 ZIP は 52 entry すべてにバックスラッシュ）,Task A の Colab 実行。outputs/bundles/AIagent_code_20260920.zip（旧）、notebooks/TaskA_train_colab.ipynb,scripts/11_build_code_bundle.py を新設し、Python の zipfile で Path.as_posix() の arcname を書き込む方式に変更。作成後に、生の entry 名（orig_filename）にバックスラッシュが 0 件であること、日本語名の UTF-8 フラグ、必須 7 ファイルの存在、Linux 方式（/ のみで分割）で展開した構造を自動検証する。Notebook 側にも展開前後の検証を追加,必要（ZIP を作り直し、Notebook の参照先と EXPECTED_SHA256 を更新）,新 ZIP AIagent_code_20260921.zip（47 entry、SHA256 bdb2f47d…）でバックスラッシュ 0 件。Linux 方式の展開で必須 7 ファイルが実ディレクトリ配下に復元され、展開先から grid 一覧（24 run）と指標テスト（0 failure）が実行できることを確認
CL-004,2026-09-20,自作 numpy 実装の Average Precision が、同順位（tie）のある予測確率で scikit-learn の average_precision_score と一致しなかった（本学習開始前の参照照合で検出）,AP をサンプル 1 件ごとに累積していたため、同じスコアの標本がグループ化されず、group 内の並び順に依存していた。標準の定義は閾値（distinct score）単位で集約する,Task A 以降の全評価。src/covid_mortality/evaluation/metrics.py,"閾値単位（distinct score のグループ）で tp/fp を集約してから AP を計算するよう修正。tests/test_metrics_reference.py を追加し、手計算の参照値 6 ケースと scikit-learn の 4 ケース（n=1,021・136 events、n=128・19 events を含む）で照合",必要（学習前のため再実行は不要。以後この実装を使用）,手計算 6 ケース一致、sklearn との差は最大 1.11e-16。AUROC は修正前から全ケース完全一致。AUPRC の定義を Average Precision（step-wise）に固定し、PR 曲線の台形積分は使わないことを明記した
CL-003,2026-09-20,split manifest の最新版が特定できず、split 照合を保留していた（D-042）,Google ドライブがストリーミング設定で、ローカルからは selected_dicom_1277 しか見えていなかった,Task A / 全 Task の split。docs/decision_log.md（D-042 → D-043）、implementation_plan 工程 04,研究者から固定 split manifest（COVID19_固定患者split_1277.csv）の提供を受け、scripts/04_split_reconciliation.py で D-036 の全項目を照合した。その間、新しい split の作成・seed の設定・再割付は一切行っていない,不要（保留の解除であり、既存の成果物の再生成はない）,"SHA256 626061a5… が提供値と一致。Subject ID 集合が 1,277 例で完全一致、重複 0、人数 1021/128/128、死亡数 135/17/17、臨床ファイルの転帰との矛盾 0。data/splits/ に採用版を保存した（D-043）"
CL-002,2026-09-20,既存 DICOM との照合で、393 例の AcquisitionTime が不一致と判定された（例：既存 083615.864 と再構築 83615.864）,"scripts/02b_apply_inclusion_window.py が候補 manifest を読むときに AcquisitionTime を数値として解釈し、先頭・末尾のゼロが落ちた状態で 1,277 例版を保存していた。照合スクリプトでも同じ読み方をしていた。DICOM の値そのものは一致しており、データの差ではない",Task A。data/interim/cxr_audit/index_cxr_manifest_window_T0m2_T0.csv（再生成、SHA256 が a8d79bfe… から e8c07db7… へ変更）。scripts/02b_apply_inclusion_window.py、scripts/03_cohort_reconciliation.py。decision_log D-040,"両スクリプトで dtype=str として読み込むよう修正し、1,277 例版を再生成した",必要（manifest を再生成し、照合をやり直した）,"再照合で 1,277 例すべてが完全一致。AcquisitionTime の不一致は 0 件。再生成した manifest の先頭行で 083615.864 が保持されていることを確認した"
